algorithm,app,bw_level,ipath_0,ipath_1,node_count,power_cap,runtime,thread_count,avg_runtime,perf_variation
pak,mg,4,0,1,512,80,73.09,20,45.263666666666666,27.826333333333338
rand,mg,4,0,1,512,80,72.65,20,50.6912,21.958800000000004
spr,mg,5,0,2,512,80,72.84,20,48.99294964028777,23.847050359712235
pak,mg,5,0,2,512,80,73.07,20,45.263666666666666,27.806333333333328
rand,mg,5,0,2,512,80,72.88,20,50.6912,22.188799999999993
spr,mg,1,2,0,512,115,91.36,20,48.99294964028777,42.36705035971223
pak,mg,1,2,0,512,115,79.67,20,45.263666666666666,34.406333333333336
rand,mg,1,2,0,512,115,93.5,20,50.6912,42.8088
spr,mg,2,1,0,512,115,76.74,20,48.99294964028777,27.747050359712226
pak,mg,2,1,0,512,115,74.73,20,45.263666666666666,29.46633333333334
rand,mg,2,1,0,512,115,77.21,20,50.6912,26.51879999999999
spr,mg,3,0,0,512,115,72.86,20,48.99294964028777,23.86705035971223
pak,mg,3,0,0,512,115,72.42,20,45.263666666666666,27.156333333333336
rand,mg,3,0,0,512,115,72.44,20,50.6912,21.748799999999996
spr,mg,4,0,1,512,115,71.45,20,48.99294964028777,22.457050359712234
pak,mg,4,0,1,512,115,72.1,20,45.263666666666666,26.83633333333333
rand,mg,4,0,1,512,115,71.49,20,50.6912,20.798799999999993
spr,mg,5,0,2,512,115,71.35,20,48.99294964028777,22.357050359712225
pak,mg,5,0,2,512,115,72.16,20,45.263666666666666,26.89633333333333
rand,mg,5,0,2,512,115,70.94,20,50.6912,20.248799999999996
spr,mg,1,2,0,512,64,113.3,24,48.99294964028777,64.30705035971224
pak,mg,1,2,0,512,64,91.83,24,45.263666666666666,46.56633333333333
rand,mg,1,2,0,512,64,120.79,24,50.6912,70.09880000000001
spr,mg,2,1,0,512,64,98.21,24,48.99294964028777,49.217050359712225
pak,mg,2,1,0,512,64,91.6,24,45.263666666666666,46.33633333333333
rand,mg,2,1,0,512,64,97.4,24,50.6912,46.708800000000004
spr,mg,3,0,0,512,64,93.24,24,48.99294964028777,44.247050359712226
pak,mg,3,0,0,512,64,90.9,24,45.263666666666666,45.63633333333334
rand,mg,3,0,0,512,64,91.82,24,50.6912,41.12879999999999
spr,mg,4,0,1,512,64,91.58,24,48.99294964028777,42.58705035971223
pak,mg,4,0,1,512,64,90.79,24,45.263666666666666,45.52633333333334
rand,mg,4,0,1,512,64,93.25,24,50.6912,42.5588
spr,mg,5,0,2,512,64,91.63,24,48.99294964028777,42.63705035971223
pak,mg,5,0,2,512,64,91.09,24,45.263666666666666,45.82633333333334
rand,mg,5,0,2,512,64,91.33,24,50.6912,40.638799999999996
spr,mg,1,2,0,512,80,107.98,24,48.99294964028777,58.987050359712235
pak,mg,1,2,0,512,80,86.21,24,45.263666666666666,40.94633333333333
rand,mg,1,2,0,512,80,112.07,24,50.6912,61.37879999999999
spr,mg,2,1,0,512,80,91.11,24,48.99294964028777,42.11705035971223
pak,mg,2,1,0,512,80,86.16,24,45.263666666666666,40.89633333333333
rand,mg,2,1,0,512,80,92.02,24,50.6912,41.328799999999994
spr,mg,3,0,0,512,80,86.36,24,48.99294964028777,37.36705035971223
pak,mg,3,0,0,512,80,85.5,24,45.263666666666666,40.236333333333334
rand,mg,3,0,0,512,80,85.26,24,50.6912,34.5688
spr,mg,4,0,1,512,80,85.13,24,48.99294964028777,36.13705035971223
pak,mg,4,0,1,512,80,85.46,24,45.263666666666666,40.19633333333333
rand,mg,4,0,1,512,80,84.36,24,50.6912,33.6688
spr,mg,5,0,2,512,80,85.23,24,48.99294964028777,36.237050359712235
pak,mg,5,0,2,512,80,85.45,24,45.263666666666666,40.18633333333334
rand,mg,5,0,2,512,80,84.05,24,50.6912,33.358799999999995
spr,mg,1,2,0,512,115,105.0,24,48.99294964028777,56.00705035971223
pak,mg,1,2,0,512,115,84.91,24,45.263666666666666,39.64633333333333
rand,mg,1,2,0,512,115,110.04,24,50.6912,59.348800000000004
spr,mg,2,1,0,512,115,89.06,24,48.99294964028777,40.06705035971223
pak,mg,2,1,0,512,115,84.72,24,45.263666666666666,39.45633333333333
rand,mg,2,1,0,512,115,90.12,24,50.6912,39.4288
spr,mg,3,0,0,512,115,84.55,24,48.99294964028777,35.55705035971223
pak,mg,3,0,0,512,115,84.01,24,45.263666666666666,38.74633333333334
rand,mg,3,0,0,512,115,83.44,24,50.6912,32.748799999999996
spr,mg,4,0,1,512,115,82.97,24,48.99294964028777,33.97705035971223
pak,mg,4,0,1,512,115,84.01,24,45.263666666666666,38.74633333333334
rand,mg,4,0,1,512,115,83.29,24,50.6912,32.598800000000004
spr,mg,5,0,2,512,115,83.35,24,48.99294964028777,34.357050359712225
pak,mg,5,0,2,512,115,84.07,24,45.263666666666666,38.80633333333333
rand,mg,5,0,2,512,115,82.51,24,50.6912,31.818800000000003
rand,mg,1,2,0,512,64,83.91,16,50.6912,33.218799999999995
rand,mg,2,1,0,512,64,70.92,16,50.6912,20.2288
rand,mg,3,0,0,512,64,66.64,16,50.6912,15.948799999999999
rand,mg,4,0,1,512,64,64.71,16,50.6912,14.018799999999992
rand,mg,5,0,2,512,64,65.03,16,50.6912,14.338799999999999
rand,mg,1,2,0,512,80,79.52,16,50.6912,28.828799999999994
rand,mg,2,1,0,512,80,67.35,16,50.6912,16.658799999999992
rand,mg,3,0,0,512,80,61.98,16,50.6912,11.288799999999995
rand,mg,4,0,1,512,80,60.94,16,50.6912,10.248799999999996
rand,mg,5,0,2,512,80,60.67,16,50.6912,9.9788
rand,mg,1,2,0,512,115,82.56,16,50.6912,31.8688
rand,mg,2,1,0,512,115,66.89,16,50.6912,16.1988
rand,mg,3,0,0,512,115,61.99,16,50.6912,11.2988
rand,mg,4,0,1,512,115,60.65,16,50.6912,9.958799999999997
rand,mg,5,0,2,512,115,60.21,16,50.6912,9.518799999999999
rand,mg,1,2,0,512,64,96.37,20,50.6912,45.6788
rand,mg,2,1,0,512,64,85.2,20,50.6912,34.5088
rand,mg,3,0,0,512,64,80.5,20,50.6912,29.808799999999998
rand,mg,4,0,1,512,64,78.8,20,50.6912,28.108799999999995
rand,mg,5,0,2,512,64,77.65,20,50.6912,26.958800000000004
rand,mg,1,2,0,512,80,87.76,20,50.6912,37.0688
rand,mg,2,1,0,512,80,79.12,20,50.6912,28.428800000000003
rand,mg,3,0,0,512,80,73.75,20,50.6912,23.058799999999998
rand,mg,4,0,1,512,80,72.48,20,50.6912,21.788800000000002
spr,mg,1,2,0,1024,64,57.12,16,48.99294964028777,8.127050359712229
pak,mg,1,2,0,1024,64,40.14,16,45.263666666666666,5.123666666666665
rand,mg,1,2,0,1024,64,59.82,16,50.6912,9.128799999999998
spr,mg,2,1,0,1024,64,41.96,16,48.99294964028777,7.032949640287768
pak,mg,2,1,0,1024,64,38.24,16,45.263666666666666,7.023666666666664
rand,mg,2,1,0,1024,64,42.51,16,50.6912,8.181200000000004
spr,mg,3,0,0,1024,64,38.33,16,48.99294964028777,10.66294964028777
pak,mg,3,0,0,1024,64,37.38,16,45.263666666666666,7.883666666666663
rand,mg,3,0,0,1024,64,38.49,16,50.6912,12.2012
spr,mg,4,0,1,1024,64,37.3,16,48.99294964028777,11.692949640287772
pak,mg,4,0,1,1024,64,37.17,16,45.263666666666666,8.093666666666664
rand,mg,4,0,1,1024,64,37.32,16,50.6912,13.371200000000002
spr,mg,5,0,2,1024,64,37.33,16,48.99294964028777,11.66294964028777
pak,mg,5,0,2,1024,64,37.1,16,45.263666666666666,8.163666666666664
rand,mg,5,0,2,1024,64,37.13,16,50.6912,13.5612
spr,mg,1,2,0,1024,80,56.12,16,48.99294964028777,7.1270503597122286
pak,mg,1,2,0,1024,80,38.12,16,45.263666666666666,7.143666666666668
rand,mg,1,2,0,1024,80,70.07,16,50.6912,19.37879999999999
spr,mg,2,1,0,1024,80,39.82,16,48.99294964028777,9.172949640287769
pak,mg,2,1,0,1024,80,36.42,16,45.263666666666666,8.843666666666664
rand,mg,2,1,0,1024,80,41.59,16,50.6912,9.101199999999999
spr,mg,3,0,0,1024,80,35.76,16,48.99294964028777,13.23294964028777
pak,mg,3,0,0,1024,80,35.41,16,45.263666666666666,9.853666666666669
rand,mg,3,0,0,1024,80,36.55,16,50.6912,14.141200000000005
spr,mg,4,0,1,1024,80,35.04,16,48.99294964028777,13.95294964028777
pak,mg,4,0,1,1024,80,35.06,16,45.263666666666666,10.203666666666663
rand,mg,4,0,1,1024,80,34.83,16,50.6912,15.861200000000004
spr,mg,5,0,2,1024,80,34.98,16,48.99294964028777,14.012949640287772
pak,mg,5,0,2,1024,80,35.05,16,45.263666666666666,10.213666666666668
rand,mg,5,0,2,1024,80,34.81,16,50.6912,15.8812
spr,mg,1,2,0,1024,115,49.26,16,48.99294964028777,0.2670503597122291
pak,mg,1,2,0,1024,115,38.36,16,45.263666666666666,6.903666666666666
rand,mg,1,2,0,1024,115,60.98,16,50.6912,10.288799999999995
spr,mg,2,1,0,1024,115,39.36,16,48.99294964028777,9.63294964028777
pak,mg,2,1,0,1024,115,36.17,16,45.263666666666666,9.093666666666664
rand,mg,2,1,0,1024,115,40.6,16,50.6912,10.0912
spr,mg,3,0,0,1024,115,35.64,16,48.99294964028777,13.352949640287768
pak,mg,3,0,0,1024,115,34.97,16,45.263666666666666,10.293666666666667
rand,mg,3,0,0,1024,115,36.09,16,50.6912,14.601199999999999
spr,mg,4,0,1,1024,115,34.73,16,48.99294964028777,14.262949640287772
pak,mg,4,0,1,1024,115,34.7,16,45.263666666666666,10.563666666666663
rand,mg,4,0,1,1024,115,35.14,16,50.6912,15.551200000000001
spr,mg,5,0,2,1024,115,34.59,16,48.99294964028777,14.402949640287765
pak,mg,5,0,2,1024,115,34.84,16,45.263666666666666,10.423666666666662
rand,mg,5,0,2,1024,115,34.94,16,50.6912,15.751200000000004
spr,mg,1,2,0,1024,64,57.19,20,48.99294964028777,8.197050359712229
pak,mg,1,2,0,1024,64,47.72,20,45.263666666666666,2.4563333333333333
rand,mg,1,2,0,1024,64,74.35,20,50.6912,23.658799999999992
spr,mg,2,1,0,1024,64,48.8,20,48.99294964028777,0.19294964028777173
pak,mg,2,1,0,1024,64,45.61,20,45.263666666666666,0.3463333333333338
rand,mg,2,1,0,1024,64,50.57,20,50.6912,0.12120000000000175
spr,mg,3,0,0,1024,64,45.55,20,48.99294964028777,3.4429496402877717
pak,mg,3,0,0,1024,64,44.66,20,45.263666666666666,0.603666666666669
rand,mg,3,0,0,1024,64,46.36,20,50.6912,4.331200000000003
spr,mg,4,0,1,1024,64,44.83,20,48.99294964028777,4.162949640287771
pak,mg,4,0,1,1024,64,44.49,20,45.263666666666666,0.7736666666666636
rand,mg,4,0,1,1024,64,45.14,20,50.6912,5.5512000000000015
spr,mg,5,0,2,1024,64,44.7,20,48.99294964028777,4.292949640287766
pak,mg,5,0,2,1024,64,44.24,20,45.263666666666666,1.0236666666666636
rand,mg,5,0,2,1024,64,44.82,20,50.6912,5.871200000000002
spr,mg,1,2,0,1024,80,54.64,20,48.99294964028777,5.647050359712232
pak,mg,1,2,0,1024,80,50.03,20,45.263666666666666,4.7663333333333355
rand,mg,1,2,0,1024,80,70.71,20,50.6912,20.01879999999999
spr,mg,2,1,0,1024,80,46.06,20,48.99294964028777,2.9329496402877666
pak,mg,2,1,0,1024,80,42.72,20,45.263666666666666,2.5436666666666667
rand,mg,2,1,0,1024,80,50.11,20,50.6912,0.5812000000000026
