algorithm,app,bw_level,ipath_0,ipath_1,node_count,power_cap,runtime,thread_count,perf_variation
rand,kripke,4,0,1,512,115,23.36396,20,4.930081371841155
rand,kripke,5,0,2,512,115,23.33454,20,4.959501371841153
rand,kripke,1,2,0,512,64,33.43514,24,5.1410986281588436
rand,kripke,2,1,0,512,64,33.19879,24,4.904748628158849
rand,kripke,3,0,0,512,64,33.55439,24,5.2603486281588445
rand,kripke,4,0,1,512,64,33.79035,24,5.496308628158843
rand,kripke,5,0,2,512,64,33.57971,24,5.285668628158845
rand,kripke,1,2,0,512,80,27.91946,24,0.3745813718411526
rand,kripke,2,1,0,512,80,27.37243,24,0.921611371841152
rand,kripke,3,0,0,512,80,27.62826,24,0.6657813718411525
rand,kripke,4,0,1,512,80,27.47114,24,0.8229013718411551
rand,kripke,5,0,2,512,80,27.1959,24,1.0981413718411517
rand,kripke,1,2,0,512,115,25.38519,24,2.908851371841152
rand,kripke,2,1,0,512,115,25.12792,24,3.166121371841154
rand,kripke,3,0,0,512,115,25.07643,24,3.217611371841155
rand,kripke,4,0,1,512,115,25.31132,24,2.982721371841155
rand,kripke,5,0,2,512,115,25.15094,24,3.143101371841155
spr,kripke,1,2,0,1024,64,26.88041,16,1.4136313718411522
pak,kripke,1,2,0,1024,64,27.33389,16,0.9601513718411532
rand,kripke,1,2,0,1024,64,26.89617,16,1.397871371841152
spr,kripke,2,1,0,1024,64,27.23181,16,1.062231371841154
pak,kripke,2,1,0,1024,64,27.91672,16,0.3773213718411519
rand,kripke,2,1,0,1024,64,27.18929,16,1.1047513718411537
spr,kripke,3,0,0,1024,64,26.94235,16,1.3516913718411523
pak,kripke,3,0,0,1024,64,27.77948,16,0.5145613718411539
rand,kripke,3,0,0,1024,64,26.98836,16,1.3056813718411533
spr,kripke,4,0,1,1024,64,26.94407,16,1.3499713718411535
pak,kripke,4,0,1,1024,64,27.32554,16,0.9685013718411533
rand,kripke,4,0,1,1024,64,27.27306,16,1.0209813718411525
spr,kripke,5,0,2,1024,64,27.26745,16,1.0265913718411532
pak,kripke,5,0,2,1024,64,28.14219,16,0.15185137184115405
rand,kripke,5,0,2,1024,64,26.8963,16,1.3977413718411533
spr,kripke,1,2,0,1024,80,23.76823,16,4.525811371841154
pak,kripke,1,2,0,1024,80,24.05828,16,4.2357613718411535
rand,kripke,1,2,0,1024,80,24.1203,16,4.173741371841153
spr,kripke,2,1,0,1024,80,24.28931,16,4.004731371841153
pak,kripke,2,1,0,1024,80,24.11773,16,4.176311371841152
rand,kripke,2,1,0,1024,80,24.28903,16,4.005011371841153
spr,kripke,3,0,0,1024,80,23.98432,16,4.309721371841153
pak,kripke,3,0,0,1024,80,24.30636,16,3.987681371841152
rand,kripke,3,0,0,1024,80,24.38381,16,3.910231371841153
spr,kripke,4,0,1,1024,80,23.93297,16,4.3610713718411525
pak,kripke,4,0,1,1024,80,24.49236,16,3.801681371841152
rand,kripke,4,0,1,1024,80,24.29106,16,4.002981371841152
spr,kripke,5,0,2,1024,80,23.97231,16,4.321731371841153
pak,kripke,5,0,2,1024,80,23.85627,16,4.437771371841155
rand,kripke,5,0,2,1024,80,24.12107,16,4.172971371841154
spr,kripke,1,2,0,1024,115,23.57201,16,4.722031371841155
pak,kripke,1,2,0,1024,115,24.0433,16,4.250741371841155
rand,kripke,1,2,0,1024,115,23.89118,16,4.402861371841155
spr,kripke,2,1,0,1024,115,23.83828,16,4.455761371841152
pak,kripke,2,1,0,1024,115,23.86128,16,4.432761371841153
rand,kripke,2,1,0,1024,115,23.80098,16,4.493061371841154
spr,kripke,3,0,0,1024,115,23.77827,16,4.515771371841154
pak,kripke,3,0,0,1024,115,23.79411,16,4.4999313718411535
rand,kripke,3,0,0,1024,115,23.65792,16,4.636121371841153
spr,kripke,4,0,1,1024,115,23.56444,16,4.729601371841152
pak,kripke,4,0,1,1024,115,23.64915,16,4.644891371841155
rand,kripke,4,0,1,1024,115,23.73828,16,4.555761371841154
spr,kripke,5,0,2,1024,115,23.78427,16,4.509771371841154
pak,kripke,5,0,2,1024,115,23.77703,16,4.5170113718411535
rand,kripke,5,0,2,1024,115,23.65626,16,4.637781371841154
spr,kripke,1,2,0,1024,64,30.91632,20,2.6222786281588455
pak,kripke,1,2,0,1024,64,31.21066,20,2.9166186281588473
rand,kripke,1,2,0,1024,64,31.17807,20,2.8840286281588483
spr,kripke,2,1,0,1024,64,30.79268,20,2.4986386281588473
pak,kripke,2,1,0,1024,64,30.89379,20,2.5997486281588458
rand,kripke,2,1,0,1024,64,30.68318,20,2.3891386281588467
spr,kripke,3,0,0,1024,64,30.38462,20,2.0905786281588483
pak,kripke,3,0,0,1024,64,31.03666,20,2.742618628158848
rand,kripke,3,0,0,1024,64,31.5106,20,3.2165586281588467
spr,kripke,4,0,1,1024,64,30.9207,20,2.6266586281588467
pak,kripke,4,0,1,1024,64,30.74266,20,2.4486186281588473
rand,kripke,4,0,1,1024,64,31.41823,20,3.124188628158848
spr,kripke,5,0,2,1024,64,30.51841,20,2.224368628158846
pak,kripke,5,0,2,1024,64,30.85167,20,2.557628628158845
rand,kripke,5,0,2,1024,64,30.6813,20,2.387258628158847
spr,kripke,1,2,0,1024,80,26.32385,20,1.9701913718411532
pak,kripke,1,2,0,1024,80,26.2614,20,2.032641371841155
rand,kripke,1,2,0,1024,80,26.99083,20,1.3032113718411544
spr,kripke,2,1,0,1024,80,26.0457,20,2.2483413718411533
pak,kripke,2,1,0,1024,80,26.1994,20,2.0946413718411527
rand,kripke,2,1,0,1024,80,26.64767,20,1.646371371841152
spr,kripke,3,0,0,1024,80,26.09881,20,2.195231371841153
pak,kripke,3,0,0,1024,80,26.72244,20,1.5716013718411546
rand,kripke,3,0,0,1024,80,26.68723,20,1.6068113718411539
spr,kripke,4,0,1,1024,80,26.39145,20,1.9025913718411545
pak,kripke,4,0,1,1024,80,26.41048,20,1.8835613718411537
rand,kripke,4,0,1,1024,80,26.08064,20,2.2134013718411545
spr,kripke,5,0,2,1024,80,26.29519,20,1.9988513718411518
pak,kripke,5,0,2,1024,80,26.68542,20,1.6086213718411528
rand,kripke,5,0,2,1024,80,26.16205,20,2.1319913718411527
spr,kripke,1,2,0,1024,115,25.10784,20,3.186201371841154
pak,kripke,1,2,0,1024,115,25.47104,20,2.823001371841155
rand,kripke,1,2,0,1024,115,25.46263,20,2.8314113718411527
spr,kripke,2,1,0,1024,115,24.90835,20,3.3856913718411548
pak,kripke,2,1,0,1024,115,25.17936,20,3.1146813718411543
rand,kripke,2,1,0,1024,115,25.32816,20,2.965881371841153
spr,kripke,3,0,0,1024,115,25.35111,20,2.942931371841155
pak,kripke,3,0,0,1024,115,25.22434,20,3.069701371841152
rand,kripke,3,0,0,1024,115,25.09487,20,3.199171371841153
spr,kripke,4,0,1,1024,115,24.91434,20,3.379701371841154
pak,kripke,4,0,1,1024,115,25.29449,20,2.9995513718411537
rand,kripke,4,0,1,1024,115,25.28936,20,3.004681371841155
spr,kripke,5,0,2,1024,115,25.20525,20,3.088791371841154
pak,kripke,5,0,2,1024,115,25.36038,20,2.933661371841154
rand,kripke,5,0,2,1024,115,25.08242,20,3.2116213718411544
spr,kripke,1,2,0,1024,64,35.00627,24,6.712228628158847
pak,kripke,1,2,0,1024,64,35.37391,24,7.079868628158849
rand,kripke,1,2,0,1024,64,35.46718,24,7.173138628158846
spr,kripke,2,1,0,1024,64,34.89404,24,6.599998628158843
pak,kripke,2,1,0,1024,64,35.41289,24,7.118848628158844
rand,kripke,2,1,0,1024,64,35.5564,24,7.262358628158843
spr,kripke,3,0,0,1024,64,35.28564,24,6.991598628158847
pak,kripke,3,0,0,1024,64,35.36392,24,7.069878628158847
rand,kripke,3,0,0,1024,64,35.87083,24,7.576788628158845
spr,kripke,4,0,1,1024,64,35.03641,24,6.742368628158843
pak,kripke,4,0,1,1024,64,35.63993,24,7.345888628158846
rand,kripke,4,0,1,1024,64,36.15373,24,7.85968862815885
spr,kripke,5,0,2,1024,64,34.85388,24,6.559838628158843
pak,kripke,5,0,2,1024,64,35.36942,24,7.075378628158845
rand,kripke,5,0,2,1024,64,35.9465,24,7.652458628158847
spr,kripke,1,2,0,1024,80,29.20858,24,0.9145386281588479
pak,kripke,1,2,0,1024,80,29.36344,24,1.0693986281588472
rand,kripke,1,2,0,1024,80,29.36702,24,1.0729786281588467
spr,kripke,2,1,0,1024,80,29.15231,24,0.8582686281588465
pak,kripke,2,1,0,1024,80,29.10392,24,0.8098786281588453
rand,kripke,2,1,0,1024,80,29.4831,24,1.1890586281588469
spr,kripke,3,0,0,1024,80,29.14857,24,0.854528628158846
pak,kripke,3,0,0,1024,80,29.14557,24,0.8515286281588459
rand,kripke,3,0,0,1024,80,29.20953,24,0.9154886281588475
spr,kripke,4,0,1,1024,80,28.96555,24,0.6715086281588469
pak,kripke,4,0,1,1024,80,29.21358,24,0.9195386281588469
rand,kripke,4,0,1,1024,80,29.01957,24,0.7255286281588482
spr,kripke,5,0,2,1024,80,29.10957,24,0.8155286281588481
pak,kripke,5,0,2,1024,80,29.15671,24,0.8626686281588469
rand,kripke,5,0,2,1024,80,29.40815,24,1.1141086281588457
spr,kripke,1,2,0,1024,115,26.51143,24,1.7826113718411527
pak,kripke,1,2,0,1024,115,26.88842,24,1.4056213718411534
rand,kripke,1,2,0,1024,115,26.95745,24,1.336591371841152
spr,kripke,2,1,0,1024,115,26.58148,24,1.7125613718411543
pak,kripke,2,1,0,1024,115,26.91646,24,1.3775813718411527
rand,kripke,2,1,0,1024,115,27.07601,24,1.2180313718411533
spr,kripke,3,0,0,1024,115,26.64264,24,1.6514013718411533
pak,kripke,3,0,0,1024,115,26.78345,24,1.510591371841155
rand,kripke,3,0,0,1024,115,26.74708,24,1.546961371841153
spr,kripke,4,0,1,1024,115,26.60623,24,1.6878113718411534
pak,kripke,4,0,1,1024,115,26.92945,24,1.3645913718411542
rand,kripke,4,0,1,1024,115,26.69806,24,1.5959813718411517
spr,kripke,5,0,2,1024,115,26.45344,24,1.840601371841153
pak,kripke,5,0,2,1024,115,26.73563,24,1.558411371841153
rand,kripke,5,0,2,1024,115,26.69622,24,1.5978213718411531
rand,kripke,1,2,0,1024,64,27.54656,16,0.7474813718411539
rand,kripke,2,1,0,1024,64,27.87751,16,0.4165313718411525
rand,kripke,3,0,0,1024,64,27.46516,16,0.8288813718411525
rand,kripke,4,0,1,1024,64,28.50324,16,0.20919862815884827
rand,kripke,5,0,2,1024,64,27.32304,16,0.9710013718411545
rand,kripke,1,2,0,1024,80,24.39327,16,3.9007713718411523
rand,kripke,2,1,0,1024,80,24.24589,16,4.048151371841154
rand,kripke,3,0,0,1024,80,24.56525,16,3.7287913718411545
rand,kripke,4,0,1,1024,80,24.31424,16,3.979801371841152
rand,kripke,5,0,2,1024,80,23.94695,16,4.347091371841152
rand,kripke,1,2,0,1024,115,23.81089,16,4.483151371841153
rand,kripke,2,1,0,1024,115,23.8752,16,4.418841371841154
rand,kripke,3,0,0,1024,115,23.92818,16,4.365861371841152
rand,kripke,4,0,1,1024,115,23.8942,16,4.399841371841152
rand,kripke,5,0,2,1024,115,23.93419,16,4.3598513718411525
rand,kripke,1,2,0,1024,64,30.92051,20,2.6264686281588467
rand,kripke,2,1,0,1024,64,31.0987,20,2.8046586281588475
rand,kripke,3,0,0,1024,64,31.5705,20,3.2764586281588457
rand,kripke,4,0,1,1024,64,31.34572,20,3.0516786281588466
rand,kripke,5,0,2,1024,64,31.41533,20,3.1212886281588474
rand,kripke,1,2,0,1024,80,26.45997,20,1.834071371841155
rand,kripke,2,1,0,1024,80,26.52145,20,1.772591371841152
rand,kripke,3,0,0,1024,80,26.94459,20,1.3494513718411518
rand,kripke,4,0,1,1024,80,27.03399,20,1.2600513718411541
rand,kripke,5,0,2,1024,80,26.66274,20,1.631301371841154
rand,kripke,1,2,0,1024,115,25.59592,20,2.698121371841154
rand,kripke,2,1,0,1024,115,25.487,20,2.807041371841155
rand,kripke,3,0,0,1024,115,25.24922,20,3.0448213718411523
rand,kripke,4,0,1,1024,115,25.35282,20,2.941221371841152
rand,kripke,5,0,2,1024,115,25.33252,20,2.9615213718411546
rand,kripke,1,2,0,1024,64,35.99145,24,7.697408628158847
rand,kripke,2,1,0,1024,64,35.86381,24,7.569768628158847
rand,kripke,3,0,0,1024,64,35.87719,24,7.583148628158845
rand,kripke,4,0,1,1024,64,35.56686,24,7.272818628158845
rand,kripke,5,0,2,1024,64,35.7634,24,7.469358628158844
rand,kripke,1,2,0,1024,80,29.8131,24,1.5190586281588452
rand,kripke,2,1,0,1024,80,29.63632,24,1.342278628158848
rand,kripke,3,0,0,1024,80,29.47466,24,1.1806186281588467
rand,kripke,4,0,1,1024,80,29.77608,24,1.482038628158847
rand,kripke,5,0,2,1024,80,29.73347,24,1.439428628158847
rand,kripke,1,2,0,1024,115,27.48545,24,0.8085913718411533
rand,kripke,2,1,0,1024,115,27.06928,24,1.2247613718411543
rand,kripke,3,0,0,1024,115,27.27843,24,1.0156113718411532
rand,kripke,4,0,1,1024,115,27.05157,24,1.2424713718411518
rand,kripke,5,0,2,1024,115,26.9982,24,1.2958413718411528
pak,kripke,3,0,0,2048,64,28.66533,16,0.37128862815884744
pak,kripke,2,1,0,2048,64,28.49794,16,0.2038986281588464
pak,kripke,1,2,0,2048,64,28.8575,16,0.5634586281588483
pak,kripke,4,0,1,2048,64,28.59191,16,0.2978686281588452
pak,kripke,5,0,2,2048,64,28.89893,16,0.6048886281588466
pak,kripke,3,0,0,2048,80,25.88987,16,2.404171371841155
pak,kripke,2,1,0,2048,80,25.64885,16,2.645191371841154
pak,kripke,1,2,0,2048,80,25.80383,16,2.490211371841152
pak,kripke,4,0,1,2048,115,27.14816,20,1.1458813718411527
pak,kripke,5,0,2,2048,115,26.92815,20,1.3658913718411547
pak,kripke,3,0,0,2048,64,37.62854,24,9.334498628158848
pak,kripke,2,1,0,2048,64,38.24387,24,9.949828628158848
pak,kripke,1,2,0,2048,64,38.01378,24,9.719738628158844
pak,kripke,4,0,1,2048,80,28.44716,20,0.1531186281588468
pak,kripke,5,0,2,2048,80,28.28817,20,0.005871371841152495
pak,kripke,3,0,0,2048,115,27.17616,20,1.117881371841154
pak,kripke,2,1,0,2048,115,27.40132,20,0.8927213718411551
pak,kripke,1,2,0,2048,115,27.27513,20,1.0189113718411527
pak,kripke,4,0,1,2048,64,38.50652,24,10.212478628158848
pak,kripke,5,0,2,2048,64,37.7084,24,9.414358628158844
pak,kripke,3,0,0,2048,80,31.42708,24,3.1330386281588467
pak,kripke,2,1,0,2048,80,31.15812,24,2.864078628158847
pak,kripke,1,2,0,2048,80,31.31009,24,3.0160486281588454
pak,kripke,4,0,1,2048,115,25.7139,16,2.5801413718411546
pak,kripke,2,1,0,2048,115,25.27973,16,3.0143113718411527
pak,kripke,5,0,2,2048,115,25.47392,16,2.8201213718411537
pak,kripke,3,0,0,2048,64,32.62024,20,4.326198628158849
pak,kripke,2,1,0,2048,64,32.68923,20,4.395188628158849
pak,kripke,1,2,0,2048,64,33.65023,20,5.356188628158847
pak,kripke,4,0,1,2048,80,26.17031,16,2.123731371841153
pak,kripke,5,0,2,2048,80,25.79071,16,2.5033313718411527
pak,kripke,3,0,0,2048,115,25.47256,16,2.821481371841152
pak,kripke,1,2,0,2048,115,25.74969,16,2.5443513718411523
pak,kripke,4,0,1,2048,64,33.02238,20,4.728338628158845
pak,kripke,5,0,2,2048,64,32.66125,20,4.367208628158849
pak,kripke,3,0,0,2048,80,28.76717,20,0.4731286281588467
pak,kripke,2,1,0,2048,80,28.20415,20,0.08989137184115492
pak,kripke,1,2,0,2048,80,28.27011,20,0.02393137184115446
spr,kripke,1,2,0,2048,64,28.90623,16,0.6121886281588473
rand,kripke,1,2,0,2048,64,29.25877,16,0.964728628158845
spr,kripke,2,1,0,2048,64,28.95977,16,0.6657286281588455
rand,kripke,2,1,0,2048,64,28.59708,16,0.30303862815884486
spr,kripke,3,0,0,2048,64,28.8453,16,0.5512586281588483
rand,kripke,3,0,0,2048,64,28.49891,16,0.2048686281588452
spr,kripke,4,0,1,2048,64,28.90688,16,0.6128386281588476
rand,kripke,4,0,1,2048,64,28.3001,16,0.006058628158847057
spr,kripke,5,0,2,2048,64,29.23202,16,0.9379786281588451
rand,kripke,5,0,2,2048,64,28.75661,16,0.46256862815884503
spr,kripke,1,2,0,2048,80,25.76189,16,2.5321513718411524
rand,kripke,1,2,0,2048,80,25.92639,16,2.367651371841152
spr,kripke,2,1,0,2048,80,25.50445,16,2.789591371841155
rand,kripke,2,1,0,2048,80,25.53827,16,2.7557713718411527
spr,kripke,3,0,0,2048,80,25.47098,16,2.8230613718411526
rand,kripke,3,0,0,2048,80,25.59662,16,2.697421371841152
spr,kripke,4,0,1,2048,80,25.67158,16,2.6224613718411547
rand,kripke,4,0,1,2048,80,25.85696,16,2.4370813718411526
spr,kripke,5,0,2,2048,80,25.99236,16,2.301681371841152
rand,kripke,5,0,2,2048,80,25.79111,16,2.5029313718411537
spr,kripke,1,2,0,2048,115,25.47697,16,2.817071371841152
rand,kripke,1,2,0,2048,115,25.73267,16,2.5613713718411546
spr,kripke,2,1,0,2048,115,25.60694,16,2.687101371841152
