algorithm,app,bw_level,ipath_0,ipath_1,node_count,power_cap,runtime,thread_count
spr,cg,1,2,0,1024,115,46.20,16
spr,cg,1,2,0,1024,115,53.55,16
pak,cg,1,2,0,1024,115,40.62,20
pak,cg,1,2,0,1024,115,40.52,20
pak,cg,1,2,0,1024,115,40.59,20
rand,cg,1,2,0,1024,115,65.79,20
rand,cg,1,2,0,1024,115,97.59,20
rand,cg,1,2,0,1024,115,73.94,20
spr,cg,1,2,0,1024,115,51.55,20
spr,cg,1,2,0,1024,115,51.57,20
spr,cg,1,2,0,1024,115,51.59,20
pak,cg,1,2,0,1024,115,42.74,24
pak,cg,1,2,0,1024,115,42.74,24
pak,cg,1,2,0,1024,115,42.73,24
rand,cg,1,2,0,1024,115,71.14,24
rand,cg,1,2,0,1024,115,73.62,24
rand,cg,1,2,0,1024,115,67.56,24
spr,cg,1,2,0,1024,115,54.32,24
spr,cg,1,2,0,1024,115,54.44,24
spr,cg,1,2,0,1024,115,54.33,24
pak,cg,3,0,0,1024,64,28.15,16
pak,cg,3,0,0,1024,64,28.05,16
pak,cg,3,0,0,1024,64,28.11,16
rand,cg,3,0,0,1024,64,30.46,16
rand,cg,3,0,0,1024,64,30.17,16
rand,cg,3,0,0,1024,64,31.49,16
spr,cg,3,0,0,1024,64,28.13,16
spr,cg,3,0,0,1024,64,28.13,16
spr,cg,3,0,0,1024,64,28.10,16
pak,cg,3,0,0,1024,64,34.73,20
pak,cg,3,0,0,1024,64,34.74,20
pak,cg,3,0,0,1024,64,34.70,20
rand,cg,3,0,0,1024,64,35.81,20
rand,cg,3,0,0,1024,64,38.12,20
rand,cg,3,0,0,1024,64,36.57,20
spr,cg,3,0,0,1024,64,35.12,20
spr,cg,3,0,0,1024,64,35.12,20
spr,cg,3,0,0,1024,64,35.17,20
pak,cg,3,0,0,1024,64,38.30,24
pak,cg,3,0,0,1024,64,38.46,24
pak,cg,3,0,0,1024,64,38.29,24
rand,cg,3,0,0,1024,64,40.13,24
rand,cg,3,0,0,1024,64,38.93,24
