algorithm,app,bw_level,ipath_0,ipath_1,node_count,power_cap,runtime,thread_count,avg_runtime,perf_variation
rand,lu,2,1,0,512,80,62.13,16,45.534470588235294,16.59552941176471
rand,lu,3,0,0,512,80,60.49,16,45.534470588235294,14.955529411764708
rand,lu,4,0,1,512,80,59.57,16,45.534470588235294,14.035529411764706
rand,lu,5,0,2,512,80,61.15,16,45.534470588235294,15.615529411764705
rand,lu,1,2,0,512,115,67.02,16,45.534470588235294,21.485529411764702
rand,lu,2,1,0,512,115,61.37,16,45.534470588235294,15.835529411764703
rand,lu,3,0,0,512,115,60.25,16,45.534470588235294,14.715529411764706
rand,lu,4,0,1,512,115,59.2,16,45.534470588235294,13.665529411764709
rand,lu,5,0,2,512,115,59.73,16,45.534470588235294,14.195529411764703
rand,lu,1,2,0,512,64,86.15,20,45.534470588235294,40.61552941176471
rand,lu,2,1,0,512,64,79.94,20,45.534470588235294,34.405529411764704
rand,lu,3,0,0,512,64,79.55,20,45.534470588235294,34.0155294117647
rand,lu,4,0,1,512,64,76.75,20,45.534470588235294,31.215529411764706
rand,lu,5,0,2,512,64,77.07,20,45.534470588235294,31.5355294117647
rand,lu,1,2,0,512,80,72.33,20,45.534470588235294,26.795529411764704
rand,lu,2,1,0,512,80,69.07,20,45.534470588235294,23.5355294117647
rand,lu,3,0,0,512,80,68.97,20,45.534470588235294,23.435529411764705
rand,lu,4,0,1,512,80,68.3,20,45.534470588235294,22.765529411764703
rand,lu,5,0,2,512,80,67.55,20,45.534470588235294,22.015529411764703
rand,lu,1,2,0,512,115,70.98,20,45.534470588235294,25.44552941176471
rand,lu,2,1,0,512,115,66.59,20,45.534470588235294,21.05552941176471
rand,lu,3,0,0,512,115,65.23,20,45.534470588235294,19.69552941176471
rand,lu,4,0,1,512,115,65.04,20,45.534470588235294,19.505529411764712
rand,lu,5,0,2,512,115,65.11,20,45.534470588235294,19.575529411764705
rand,lu,1,2,0,512,64,93.1,24,45.534470588235294,47.5655294117647
rand,lu,2,1,0,512,64,89.35,24,45.534470588235294,43.8155294117647
rand,lu,3,0,0,512,64,87.99,24,45.534470588235294,42.4555294117647
rand,lu,4,0,1,512,64,87.71,24,45.534470588235294,42.1755294117647
