algorithm,app,bw_level,ipath_0,ipath_1,node_count,power_cap,runtime,thread_count
spr,amr,3,0,0,2048,115,31.566266,24
pak,amr,4,0,1,2048,115,29.083436,24
rand,amr,4,0,1,2048,115,28.649882,24
spr,amr,4,0,1,2048,115,28.812450,24
pak,amr,5,0,2,2048,115,28.540548,24
rand,amr,5,0,2,2048,115,28.281623,24
spr,amr,5,0,2,2048,115,28.623321,24
pak,amr,2,1,0,2048,115,35.370485,24
rand,amr,2,1,0,2048,115,43.511716,24
spr,amr,2,1,0,2048,115,37.901199,24
pak,amr,1,2,0,2048,115,39.412995,24
rand,amr,1,2,0,2048,115,66.909672,24
spr,amr,1,2,0,2048,115,46.999481,24
pak,amr,3,0,0,2048,64,34.507387,24
rand,amr,3,0,0,2048,64,38.520758,24
spr,amr,3,0,0,2048,64,35.914208,24
pak,amr,4,0,1,2048,64,34.090524,24
rand,amr,4,0,1,2048,64,33.864792,24
spr,amr,4,0,1,2048,64,33.900938,24
pak,amr,5,0,2,2048,64,34.422730,24
rand,amr,5,0,2,2048,64,34.132910,24
spr,amr,5,0,2,2048,64,33.532743,24
pak,amr,2,1,0,2048,64,39.060553,24
rand,amr,2,1,0,2048,64,50.338289,24
spr,amr,2,1,0,2048,64,41.990263,24
pak,amr,1,2,0,2048,64,42.926846,24
rand,amr,1,2,0,2048,64,63.837206,24
spr,amr,1,2,0,2048,64,52.182386,24
pak,amr,3,0,0,2048,80,31.255197,24
rand,amr,3,0,0,2048,80,35.758578,24
spr,amr,3,0,0,2048,80,32.472716,24
pak,amr,4,0,1,2048,80,30.035685,24
rand,amr,4,0,1,2048,80,30.194577,24
spr,amr,4,0,1,2048,80,29.689617,24
pak,amr,5,0,2,2048,80,30.465785,24
rand,amr,5,0,2,2048,80,30.415951,24
spr,amr,5,0,2,2048,80,29.780691,24
pak,amr,2,1,0,2048,80,36.998692,24
rand,amr,2,1,0,2048,80,47.964017,24
spr,amr,2,1,0,2048,80,38.800081,24
pak,amr,1,2,0,2048,80,40.287481,24
rand,amr,1,2,0,2048,80,94.803246,24
spr,amr,1,2,0,2048,80,48.385159,24
spr,amr,1,2,0,4096,115,21.845839,16
pak,amr,3,0,0,4096,64,22.962469,16
rand,amr,3,0,0,4096,64,22.821373,16
spr,amr,3,0,0,4096,64,22.926552,16
pak,amr,4,0,1,4096,64,22.849682,16
rand,amr,4,0,1,4096,64,22.748681,16
spr,amr,4,0,1,4096,64,22.745784,16
pak,amr,5,0,2,4096,64,22.864067,16
rand,amr,5,0,2,4096,64,22.838752,16
spr,amr,5,0,2,4096,64,22.855129,16
pak,amr,2,1,0,4096,64,23.107460,16
rand,amr,2,1,0,4096,64,23.019120,16
spr,amr,2,1,0,4096,64,23.348404,16
pak,amr,1,2,0,4096,64,23.042462,16
rand,amr,1,2,0,4096,64,23.011469,16
spr,amr,1,2,0,4096,64,23.077748,16
pak,amr,3,0,0,4096,80,21.706201,16
rand,amr,3,0,0,4096,80,21.758306,16
spr,amr,3,0,0,4096,80,21.934550,16
pak,amr,4,0,1,4096,80,21.625801,16
rand,amr,4,0,1,4096,80,21.613259,16
spr,amr,4,0,1,4096,80,21.668164,16
pak,amr,5,0,2,4096,80,21.699427,16
rand,amr,5,0,2,4096,80,21.635981,16
spr,amr,5,0,2,4096,80,21.605888,16
pak,amr,2,1,0,4096,80,22.104679,16
rand,amr,2,1,0,4096,80,21.752750,16
spr,amr,2,1,0,4096,80,21.867311,16
pak,amr,1,2,0,4096,80,21.941220,16
rand,amr,1,2,0,4096,80,21.824982,16
spr,amr,1,2,0,4096,80,21.831099,16
pak,amr,3,0,0,4096,115,42.336092,24
rand,amr,3,0,0,4096,115,44.322116,24
