algorithm,app,bw_level,ipath_0,ipath_1,node_count,power_cap,runtime,thread_count
spr,CoMD,2,1,0,1024,64,38.9869,16
pak,CoMD,2,1,0,1024,64,38.9423,16
rand,CoMD,2,1,0,1024,64,40.3028,16
spr,CoMD,3,0,0,1024,64,38.7958,16
pak,CoMD,3,0,0,1024,64,41.0643,16
rand,CoMD,3,0,0,1024,64,39.3360,16
spr,CoMD,4,0,1,1024,64,38.8404,16
pak,CoMD,4,0,1,1024,64,40.3092,16
rand,CoMD,4,0,1,1024,64,39.6615,16
spr,CoMD,5,0,2,1024,64,38.8352,16
pak,CoMD,5,0,2,1024,64,39.7455,16
rand,CoMD,5,0,2,1024,64,38.7414,16
spr,CoMD,1,2,0,1024,80,37.5018,16
pak,CoMD,1,2,0,1024,80,36.1795,16
rand,CoMD,1,2,0,1024,80,37.1474,16
spr,CoMD,2,1,0,1024,80,36.4532,16
pak,CoMD,2,1,0,1024,80,37.6545,16
rand,CoMD,2,1,0,1024,80,38.9572,16
spr,CoMD,3,0,0,1024,80,36.4773,16
pak,CoMD,3,0,0,1024,80,36.7382,16
rand,CoMD,3,0,0,1024,80,36.8210,16
spr,CoMD,4,0,1,1024,80,35.1891,16
pak,CoMD,4,0,1,1024,80,36.1980,16
rand,CoMD,4,0,1,1024,80,35.9367,16
spr,CoMD,5,0,2,1024,80,35.6980,16
pak,CoMD,5,0,2,1024,80,37.4651,16
rand,CoMD,5,0,2,1024,80,34.5509,16
spr,CoMD,1,2,0,1024,115,38.0822,16
pak,CoMD,1,2,0,1024,115,36.7162,16
rand,CoMD,1,2,0,1024,115,37.6346,16
spr,CoMD,2,1,0,1024,115,35.4092,16
pak,CoMD,2,1,0,1024,115,37.1682,16
rand,CoMD,2,1,0,1024,115,38.4601,16
spr,CoMD,3,0,0,1024,115,35.8288,16
pak,CoMD,3,0,0,1024,115,37.5257,16
rand,CoMD,3,0,0,1024,115,34.8489,16
spr,CoMD,4,0,1,1024,115,35.5572,16
pak,CoMD,4,0,1,1024,115,34.3682,16
rand,CoMD,4,0,1,1024,115,36.2863,16
spr,CoMD,5,0,2,1024,115,34.0640,16
pak,CoMD,5,0,2,1024,115,38.4839,16
rand,CoMD,5,0,2,1024,115,35.3527,16
spr,CoMD,1,2,0,1024,64,44.3303,20
pak,CoMD,1,2,0,1024,64,44.3378,20
rand,CoMD,1,2,0,1024,64,46.8600,20
spr,CoMD,2,1,0,1024,64,44.6707,20
pak,CoMD,2,1,0,1024,64,43.6901,20
rand,CoMD,2,1,0,1024,64,45.6361,20
spr,CoMD,3,0,0,1024,64,43.5413,20
pak,CoMD,3,0,0,1024,64,43.2210,20
rand,CoMD,3,0,0,1024,64,44.2601,20
spr,CoMD,4,0,1,1024,64,43.1713,20
pak,CoMD,4,0,1,1024,64,42.8289,20
rand,CoMD,4,0,1,1024,64,44.4572,20
spr,CoMD,5,0,2,1024,64,44.1631,20
pak,CoMD,5,0,2,1024,64,42.7853,20
rand,CoMD,5,0,2,1024,64,44.2862,20
spr,CoMD,1,2,0,1024,80,41.5173,20
pak,CoMD,1,2,0,1024,80,39.0518,20
rand,CoMD,1,2,0,1024,80,41.3779,20
spr,CoMD,2,1,0,1024,80,40.6267,20
pak,CoMD,2,1,0,1024,80,38.9458,20
rand,CoMD,2,1,0,1024,80,40.6925,20
spr,CoMD,3,0,0,1024,80,38.4687,20
pak,CoMD,3,0,0,1024,80,38.2962,20
rand,CoMD,3,0,0,1024,80,40.2090,20
spr,CoMD,4,0,1,1024,80,39.0739,20
pak,CoMD,4,0,1,1024,80,37.9236,20
rand,CoMD,4,0,1,1024,80,38.8476,20
spr,CoMD,5,0,2,1024,80,38.3113,20
pak,CoMD,5,0,2,1024,80,38.1166,20
rand,CoMD,5,0,2,1024,80,38.7740,20
spr,CoMD,1,2,0,1024,115,40.4938,20
pak,CoMD,1,2,0,1024,115,39.2091,20
rand,CoMD,1,2,0,1024,115,42.2815,20
spr,CoMD,2,1,0,1024,115,38.6475,20
pak,CoMD,2,1,0,1024,115,38.7537,20
rand,CoMD,2,1,0,1024,115,40.0060,20
spr,CoMD,3,0,0,1024,115,40.0259,20
