algorithm,app,bw_level,ipath_0,ipath_1,node_count,power_cap,runtime,thread_count
rand,lu,5,0,2,2048,115,18.13,16
spr,lu,1,2,0,2048,64,28.42,20
rand,lu,1,2,0,2048,64,32.54,20
spr,lu,2,1,0,2048,64,24.65,20
rand,lu,2,1,0,2048,64,24.91,20
spr,lu,3,0,0,2048,64,24.16,20
rand,lu,3,0,0,2048,64,24.34,20
spr,lu,4,0,1,2048,64,24.05,20
rand,lu,4,0,1,2048,64,24.18,20
spr,lu,5,0,2,2048,64,24.1,20
rand,lu,5,0,2,2048,64,24.23,20
spr,lu,1,2,0,2048,80,25.44,20
rand,lu,1,2,0,2048,80,27.57,20
spr,lu,2,1,0,2048,80,21.72,20
rand,lu,2,1,0,2048,80,21.71,20
spr,lu,3,0,0,2048,80,21.18,20
rand,lu,3,0,0,2048,80,21.49,20
spr,lu,4,0,1,2048,80,21.23,20
rand,lu,4,0,1,2048,80,21.26,20
spr,lu,5,0,2,2048,80,21.26,20
rand,lu,5,0,2,2048,80,21.75,20
spr,lu,1,2,0,2048,115,24.15,20
rand,lu,1,2,0,2048,115,30.23,20
spr,lu,2,1,0,2048,115,20.97,20
rand,lu,2,1,0,2048,115,20.97,20
spr,lu,3,0,0,2048,115,20.71,20
rand,lu,3,0,0,2048,115,20.6,20
spr,lu,4,0,1,2048,115,20.57,20
rand,lu,4,0,1,2048,115,20.52,20
spr,lu,5,0,2,2048,115,20.36,20
rand,lu,5,0,2,2048,115,20.55,20
spr,lu,1,2,0,2048,64,30.65,24
rand,lu,1,2,0,2048,64,35.3,24
spr,lu,2,1,0,2048,64,28.88,24
rand,lu,2,1,0,2048,64,29.13,24
spr,lu,3,0,0,2048,64,28.68,24
rand,lu,3,0,0,2048,64,28.48,24
spr,lu,4,0,1,2048,64,28.39,24
rand,lu,4,0,1,2048,64,28.57,24
spr,lu,5,0,2,2048,64,28.23,24
rand,lu,5,0,2,2048,64,28.26,24
spr,lu,1,2,0,2048,80,26.67,24
rand,lu,1,2,0,2048,80,37.02,24
spr,lu,2,1,0,2048,80,24.88,24
rand,lu,2,1,0,2048,80,24.75,24
spr,lu,3,0,0,2048,80,24.4,24
rand,lu,3,0,0,2048,80,24.17,24
spr,lu,4,0,1,2048,80,24.08,24
rand,lu,4,0,1,2048,80,24.37,24
spr,lu,5,0,2,2048,80,24.19,24
rand,lu,5,0,2,2048,80,24.35,24
spr,lu,1,2,0,2048,115,24.8,24
rand,lu,1,2,0,2048,115,33.32,24
spr,lu,2,1,0,2048,115,22.66,24
rand,lu,2,1,0,2048,115,23.36,24
spr,lu,3,0,0,2048,115,22.53,24
rand,lu,3,0,0,2048,115,22.57,24
spr,lu,4,0,1,2048,115,22.35,24
rand,lu,4,0,1,2048,115,22.47,24
spr,lu,5,0,2,2048,115,22.64,24
rand,lu,5,0,2,2048,115,22.65,24
pak,lu,1,2,0,2048,64,26.16,16
pak,lu,2,1,0,2048,64,20.54,16
pak,lu,3,0,0,2048,64,20.6,16
pak,lu,4,0,1,2048,64,20.52,16
pak,lu,5,0,2,2048,64,20.34,16
pak,lu,1,2,0,2048,80,24.46,16
pak,lu,2,1,0,2048,80,18.97,16
pak,lu,3,0,0,2048,80,18.63,16
pak,lu,4,0,1,2048,80,18.49,16
pak,lu,5,0,2,2048,80,18.74,16
pak,lu,1,2,0,2048,115,24.35,16
pak,lu,2,1,0,2048,115,18.96,16
pak,lu,3,0,0,2048,115,18.71,16
pak,lu,4,0,1,2048,115,18.67,16
pak,lu,5,0,2,2048,115,18.75,16
pak,lu,1,2,0,2048,64,26.57,20
pak,lu,2,1,0,2048,64,24.41,20
pak,lu,3,0,0,2048,64,24.37,20
pak,lu,4,0,1,2048,64,24.19,20
pak,lu,5,0,2,2048,64,24.39,20
pak,lu,1,2,0,2048,80,23.7,20
pak,lu,2,1,0,2048,80,21.31,20
pak,lu,3,0,0,2048,80,21.44,20
pak,lu,4,0,1,2048,80,21.55,20
pak,lu,5,0,2,2048,80,21.67,20
pak,lu,1,2,0,2048,115,23,20
pak,lu,2,1,0,2048,115,20.94,20
pak,lu,3,0,0,2048,115,20.63,20
pak,lu,4,0,1,2048,115,20.5,20
pak,lu,5,0,2,2048,115,20.75,20
pak,lu,1,2,0,2048,64,30.5,24
pak,lu,2,1,0,2048,64,28.84,24
pak,lu,3,0,0,2048,64,28.89,24
pak,lu,4,0,1,2048,64,28.96,24
pak,lu,5,0,2,2048,64,28.9,24
pak,lu,1,2,0,2048,80,26.3,24
pak,lu,2,1,0,2048,80,24.61,24
pak,lu,3,0,0,2048,80,24.44,24
pak,lu,4,0,1,2048,80,24.6,24
pak,lu,5,0,2,2048,80,24.6,24
pak,lu,1,2,0,2048,115,24.57,24
pak,lu,2,1,0,2048,115,22.78,24
pak,lu,3,0,0,2048,115,22.72,24
pak,lu,4,0,1,2048,115,22.66,24
pak,lu,5,0,2,2048,115,23.02,24
spr,lu,1,2,0,4096,64,19.02,24
spr,lu,2,1,0,4096,64,16.37,24
spr,lu,3,0,0,4096,64,16.08,24
